question,answer,type,source_id
Who is the mother of the director of film Polish-Russian War (Film)?,Małgorzata Braunek,compositional,0
"Which film came out first, Blind Shaft or The Mask Of Fu Manchu?",The Mask Of Fu Manchu,comparison,1
"When did John V, Prince Of Anhalt-Zerbst's father die?",12 June 1516,compositional,2
What is the award that the director of film Wearing Velvet Slippers Under A Golden Umbrella won?,Myanmar Motion Picture Academy Awards,compositional,3
Where was the director of film Ronnie Rocket born?,"Missoula, Montana",compositional,4
Who is Charles Bretagne Marie De La Trémoille's paternal grandfather?,Charles Armand René de La Trémoille,inference,5
Where was the father of Ștefan I. Nenițescu born?,Galați,compositional,6
Are North Marion High School (Oregon) and Seoul High School both located in the same country?,no,comparison,7
"Which film has the director who was born later, El Extraño Viaje or Love In Pawn?",El Extraño Viaje,bridge_comparison,8
Who is the maternal grandfather of Antiochus X Eusebes?,Ptolemy IX Lathyros,inference,9
"Which film has the director died first, Crimen A Las Tres or The Working Class Goes To Heaven?",The Working Class Goes To Heaven,bridge_comparison,10
"Which film has the director born first, Once A Gentleman or The Girl In White?",Once A Gentleman,bridge_comparison,11
"Which film has the director who died earlier, Il Seduttore or The Trial Of Joan Of Arc?",The Trial Of Joan Of Arc,bridge_comparison,12
Where was the director of film Thomas Jefferson (Film) born?,Brooklyn,compositional,13
Why did Grand Duke Kirill Vladimirovich Of Russia's wife die?,stroke,compositional,14
Where was the place of death of the director of film Beat Girl?,Nice,compositional,15
"Who died first, Fleetwood Sheppard or George William Whitaker?",Fleetwood Sheppard,comparison,16
"Which film has the director born first, The Raven'S Dance or Keïta! L'Héritage Du Griot?",The Raven'S Dance,bridge_comparison,17
When did Jean Martin (Singer)'s husband die?,1983,compositional,18
"Which film has the director who died earlier, Tangled Destinies or The Daltons' Women?",Tangled Destinies,bridge_comparison,19
"Which film was released earlier, Moment Of Danger or The Ballad Of Josie?",Moment Of Danger,comparison,20
What nationality is the director of film World And Time Enough?,United States,compositional,21
"Which film has the director died earlier, Poker In Bed or The Machine To Kill Bad People?",The Machine To Kill Bad People,bridge_comparison,22
"Which film whose director is younger, Heads I Win, Tails You Lose or The Incredible Sarah?","Heads I Win, Tails You Lose",bridge_comparison,23
"Who is Catherine Of Pomerania, Countess Palatine Of Neumarkt's father-in-law?",Rupert,inference,24
Who is Marie Zéphyrine Of France's paternal grandmother?,Marie Leszczyńska,inference,25
"Which film has the director died earlier, Condemned Women or Faces In The Dark?",Condemned Women,bridge_comparison,26
Who is the spouse of the director of film Eden And After?,Catherine Robbe-Grillet,compositional,27
Where was the place of death of Anastasia Of Serbia's husband?,Hilandar,compositional,28
Are Fire In Hell and The Tiger: An Old Hunter'S Tale from the same country?,yes,comparison,29
"Which film was released more recently, Lo Zappatore or Placer Sangriento?",Placer Sangriento,comparison,30
Was Şemsettin Baş or Gwenc'Hlan Le Scouëzec born first?,Gwenc'Hlan Le Scouëzec,comparison,31
"Which film has the director born later, Bhoomiyude Avakashikal or The Majesty Of The Law?",Bhoomiyude Avakashikal,bridge_comparison,32
Who is Cornelia (Wife Of Caesar)'s child-in-law?,Pompey,inference,33
Why did John Middleton Murry's wife die?,tuberculosis,compositional,34
Who is the paternal grandfather of Taj Al-Dawla?,Rukn al-Dawla,inference,35
Do both films Payment On Demand and My Cousin From Warsaw have the directors from the same country?,yes,bridge_comparison,36
What is the place of birth of the director of film And The Spring Comes?,Xi'an,compositional,37
"Who died first, Madame Pasca or James A. Donohoe?",Madame Pasca,comparison,38
"Who was born later, D'Arcy Coulson or Thomas William Adams?",D'Arcy Coulson,comparison,39
Are Simonds Catholic College and Saginaw High School (Texas) both located in the same country?,no,comparison,40
Which country Prince Nikolaus Wilhelm Of Nassau's mother is from?,German,compositional,41
"Which film whose director was born first, 45 Fathers or The Intended?",45 Fathers,bridge_comparison,42
"Who is the paternal grandfather of Alexandre Berthier, 3Rd Prince Of Wagram?",Louis-Alexandre Berthier,inference,43
Where was the husband of Caterina Visconti born?,Pavia,compositional,44
"Which film has the director who was born later, A Quiet Place In The Country or When Were You Born?",A Quiet Place In The Country,bridge_comparison,45
"Who was born first, John Beach or Gordon Persons?",John Beach,comparison,46
"Which film has the director born earlier, The House By The Cemetery or Charlie Chan In Honolulu?",Charlie Chan In Honolulu,bridge_comparison,47
Who is the child of the director of film La Leona (Film)?,Víctor Bó,compositional,48
Who is Blanche Of Portugal (1259–1321)'s paternal grandmother?,Urraca of Castile,inference,49
"Who lived longer, Giuseppe Cesari or Nicos Poulantzas?",Giuseppe Cesari,comparison,50
Are director of film Nights On The Road and director of film Swann In Love (Film) from the same country?,yes,bridge_comparison,51
"Who is older, Aryeh Ben-Eliezer or Jason Pociask?",Aryeh Ben-Eliezer,comparison,52
Where does the director of film Man At Bath work at?,Cahiers du cinéma,compositional,53
"Who is Arthur Gore, 2Nd Earl Of Arran's paternal grandfather?","Sir Arthur Gore, 2nd Baronet",inference,54
Are both Kaufland and Otrag located in the same country?,yes,comparison,55
"Which film came out earlier, Aanaval Mothiram or Heroes Of The Street?",Heroes Of The Street,comparison,56
Where was the father of Lord Patrick Crichton-Stuart born?,London,compositional,57
Which country the director of film Daadagiri is from?,Pakistan,compositional,58
Where was the wife of Douglas Leiterman born?,"Winnipeg, Manitoba",compositional,59
What is the place of birth of the performer of song Who...?,Fukuoka,compositional,60
Where was the place of death of the director of film Mole Men Against The Son Of Hercules?,Roma,compositional,61
Where was the father of Alexandre Gaydamak born?,"Moscow, USSR",compositional,62
"Which film has the director who died earlier, Toen 'T Licht Verdween or Boum Sur Paris?",Toen 'T Licht Verdween,bridge_comparison,63
"Who is Gaston, Duke Of Orléans's paternal grandmother?",Jeanne d'Albret,inference,64
Where was the director of film The Half-Way Girl born?,New York,compositional,65
Who is the father-in-law of Sophia Of Wittelsbach?,Louis II,inference,66
"Where was the place of death of Lambert I, Count Of Louvain's father?",Bohemia,compositional,67
Where was the director of film Highway Dragnet born?,Gura Humorului,compositional,68
Where did Prince Gustav Of Thurn And Taxis (1848–1914)'s mother die?,Meran,compositional,69
What is the award that the performer of song Sunday Papers earned?,Grammy,compositional,70
"Which film has the director born first, Antonieta or Dodging The Dole?",Dodging The Dole,bridge_comparison,71
Are both Nikolsk Airport and Svobodny Airport located in the same country?,yes,comparison,72
"Who is the maternal grandfather of Amadeus Vii, Count Of Savoy?",Peter I,inference,73
"Are both businesses, Telus and Ztr Control Systems, located in the same country?",yes,comparison,74
"Do both films, Dial M For Murder and Marius (1931 Film), have the directors who are from the same country?",yes,bridge_comparison,75
"Who is older, Dyson Parody or Gene Watson?",Gene Watson,comparison,76
Are both directors of films The Princess Bride (Film) and I Never Sang For My Father from the same country?,yes,bridge_comparison,77
When did Prince John Konstantinovich Of Russia's mother die?,24 March 1927,compositional,78
Which country Audofleda's husband is from?,Ostrogothic Kingdom,compositional,79
What is the place of birth of the director of film Letter To The King?,Kurdish,compositional,80
"Are both bands, Snowman (Band) and Jessamine (Band), from the same country?",no,comparison,81
Where was the performer of song God (John Lennon Song) born?,Liverpool,compositional,82
"Which film has the director who died earlier, Captain Kidd And The Slave Girl or Relax Freddie?",Captain Kidd And The Slave Girl,bridge_comparison,83
"Which song was released more recently, Go Ahead And Break My Heart or Knee Deep In My Heart?",Go Ahead And Break My Heart,comparison,84
"Which film has the director who died later, The Fatal Mistake or The Devil'S Hairpin?",The Devil'S Hairpin,bridge_comparison,85
Who is Maria Luisa Of Savoy's father-in-law?,"Louis, Grand Dauphin",inference,86
Who is the paternal grandfather of Kujō Yoritsugu?,Kujō Michiie,inference,87
What is the place of birth of the director of film Marianela (1940 Film)?,Madrid,compositional,88
"Which film came out first, Repeated Absences or She Wore A Yellow Ribbon?",She Wore A Yellow Ribbon,comparison,89
"Who lived longer, Edward Dearle or Michael Doeberl?",Edward Dearle,comparison,90
Where does Karin Stoltenberg's husband work at?,United Nations,compositional,91
Where was the director of film Lettre Ouverte born?,Paris,compositional,92
"Who is William Ii, Count Of Flanders's paternal grandmother?",Mathilde of Bourbon,inference,93
What is the place of birth of Clara Novello's father?,London,compositional,94
"Which film came out earlier, Emmy Of Stork'S Nest or Indira Vizha?",Emmy Of Stork'S Nest,comparison,95
"Which film came out first, Celine: Through The Eyes Of The World or Dilan 1991?",Celine: Through The Eyes Of The World,comparison,96
"Who was born earlier, Silas Hardy or Lee Mantle?",Lee Mantle,comparison,97
"Where was the place of burial of Albert Frederick, Duke Of Prussia's mother?",Königsberg,compositional,98
Where was the place of death of Juan Carlos Gumucio's wife?,Homs,compositional,99
Who is the father of the director of film Gramps Is In The Resistance?,Alain Poiré,compositional,100
What is the place of birth of the performer of song Heaven (Namie Amuro Song)?,"Naha, Okinawa",compositional,101
What nationality is Philip Of Ibelin (1180–1227)'s mother?,Byzantine,compositional,102
"Who was born later, Joseph J. Magliocco or Viktoriya Zeynep Güneş?",Viktoriya Zeynep Güneş,comparison,103
When is the lead guitarist of List Of The Dillinger Escape Plan Band Members's birthday?,"August 8, 1975",compositional,104
Where does Huma Abedin's husband work at?,Chuck Schumer,compositional,105
"Are the movies About A Wife, A Dream And Another... and The Doolins Of Oklahoma, from the same country?",no,comparison,106
"Which film came out earlier, Out Of The Rain or Les Résultats Du Féminisme?",Les Résultats Du Féminisme,comparison,107
Where did Giacomo Feo's wife die?,Florence,compositional,108
What is the place of birth of the director of film Swedenhielms?,Helsingfors,compositional,109
